tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres
tt0053885,movie,Gustav Adolfs Page,Gustav Adolfs Page,0,1960,93,"Drama,Romance,War"
tt0053889,movie,Hand in Hand,Hand in Hand,0,1961,78,"Drama,Family"
tt0053890,movie,The Hand,The Hand,0,1960,61,"Crime,Drama,Horror"
tt0053891,movie,Hannibal,Annibale,0,1959,100,"Action,Adventure,Biography"
tt0053892,movie,Spring Dreams,Haru no yume,0,1960,103,Comedy
tt0053893,movie,Hauptmann - deine Sterne,Hauptmann - deine Sterne,0,1960,84,Comedy
tt0053894,movie,There Is Someone Behind the Door,Hay alguien detrás de la puerta,0,1961,89,Drama
tt0053895,movie,The Headless Ghost,The Headless Ghost,0,1959,62,"Comedy,Horror"
tt0053896,movie,Heaven on Earth,Heaven on Earth,0,1960,82,"Drama,Romance"
tt0053897,movie,Mein Vaterhaus steht in den Bergen,Mein Vaterhaus steht in den Bergen,0,1960,79,Drama
tt0053898,movie,Heldinnen,Heldinnen,0,1960,95,"Comedy,Musical"
tt0053899,movie,Hell Bent for Leather,Hell Bent for Leather,0,1960,82,Western
tt0053900,movie,Hell Is a City,Hell Is a City,0,1960,98,"Crime,Thriller"
tt0053901,movie,Hell to Eternity,Hell to Eternity,0,1960,131,"Biography,Drama,War"
tt0053902,movie,Heller in Pink Tights,Heller in Pink Tights,0,1960,100,Western
tt0053903,movie,The Hellfire Club,The Hellfire Club,0,1961,94,Adventure
tt0053904,movie,The Man in the Black Derby,Der Herr mit der schwarzen Melone,0,1960,88,Comedy
tt0053906,movie,Mistress of the World,Herrin der Welt,0,1960,113,"Adventure,Crime,Sci-Fi"
tt0053908,movie,Hideout in the Sun,Hideout in the Sun,0,1960,70,"Crime,Drama"
tt0053910,movie,The High Powered Rifle,The High Powered Rifle,0,1960,62,"Action,Adventure,Crime"
tt0053911,movie,High School Caesar,High School Caesar,0,1960,75,Drama
tt0053912,movie,High Time,High Time,0,1960,103,"Comedy,Musical"
tt0053913,movie,Highway to Battle,Highway to Battle,0,1961,71,Drama
tt0053914,movie,Las hijas del Amapolo,Las hijas del Amapolo,0,1962,96,"Comedy,Family,Music"
tt0053915,movie,"Himmel, Amor und Zwirn","Himmel, Amor und Zwirn",0,1960,88,Comedy
tt0053916,movie,Hohe Tannen,Hohe Tannen,0,1960,98,"Comedy,Drama,Music"
tt0053917,movie,Home from the Hill,Home from the Hill,0,1960,150,"Drama,Romance"
tt0053918,movie,Ladies Man,L'homme à femmes,0,1960,95,"Crime,Drama"
tt0053919,movie,Hono-o no shiro,Hono-o no shiro,0,1960,98,Drama
tt0053920,movie,An Honourable Murder,An Honourable Murder,0,1960,69,Drama
tt0053925,movie,House of Usher,House of Usher,0,1960,79,"Drama,Horror"
tt0053931,movie,The Hypnotic Eye,The Hypnotic Eye,0,1960,79,Horror
tt0053932,movie,Three Stars,Három csillag,0,1960,95,"Drama,War"
tt0053933,movie,I Passed for White,I Passed for White,0,1960,93,Drama
tt0053934,movie,Prezil jsem svou smrt,Prezil jsem svou smrt,0,1960,93,Drama
tt0053935,movie,Ice Cold in Alex,Ice Cold in Alex,0,1958,130,"Adventure,Drama,War"
tt0053936,movie,Ice Palace,Ice Palace,0,1960,143,"Adventure,Drama,History"
tt0053937,movie,Ich zähle täglich meine Sorgen,Ich zähle täglich meine Sorgen,0,1960,92,"Comedy,Musical"
tt0053938,movie,Identity Unknown,Identity Unknown,0,1960,66,Drama
tt0053940,movie,A Mother's Revenge,Im Namen einer Mutter,0,1960,90,Drama
tt0053941,movie,The White Horse Inn,Im weissen Rössl,0,1960,103,"Comedy,Musical,Romance"
tt0053942,movie,The Impersonator,The Impersonator,0,1961,64,Mystery
tt0053943,movie,In the Nick,In the Nick,0,1960,105,Comedy
tt0053944,movie,The Incredible Petrified World,The Incredible Petrified World,0,1959,70,"Action,Adventure,Sci-Fi"
tt0053945,movie,The Reprieve,El indulto,0,1960,105,Drama
tt0053946,movie,Inherit the Wind,Inherit the Wind,0,1960,128,"Biography,Drama,History"
tt0053947,movie,Inn for Trouble,Inn for Trouble,0,1960,90,Comedy
tt0053948,movie,Die Insel der Amazonen,Die Insel der Amazonen,0,1960,88,"Action,Adventure,Drama"
tt0053950,movie,Interpol contre X (Dossier AST-555),Interpol contre X (Dossier AST-555),0,1960,84,Crime
tt0053952,movie,The House in Marsh Road,The House in Marsh Road,0,1960,70,"Horror,Thriller"
tt0053953,movie,"I Love, You Love","Io amo, tu ami",0,1961,90,Documentary
tt0053954,movie,Irumputhirai,Irumputhirai,0,1960,113,Drama
tt0053955,movie,Isaskar Keturin ihmeelliset seikkailut,Isaskar Keturin ihmeelliset seikkailut,0,1960,84,Comedy
tt0053957,movie,It Started in Naples,It Started in Naples,0,1960,100,"Comedy,Drama"
tt0053958,movie,It Takes a Thief,The Challenge,0,1960,101,"Crime,Drama,Thriller"
tt0053959,movie,L'Italia non è un paese povero,L'Italia non è un paese povero,0,1960,135,Documentary
tt0053960,movie,The Lost Pencil,Izgubljena olovka,0,1960,47,Drama
tt0053961,movie,Jack the Ripper,Jack the Ripper,0,1959,84,"Crime,History,Horror"
tt0053962,movie,The Jailbreakers,The Jailbreakers,0,1960,63,"Crime,Drama"
tt0053963,movie,Jazz Boat,Jazz Boat,0,1960,96,"Comedy,Musical"
tt0053964,movie,The Love Game,Les jeux de l'amour,0,1960,86,Comedy
tt0053965,movie,Jis Desh Men Ganga Behti Hai,Jis Desh Men Ganga Behti Hai,0,1960,167,"Drama,Musical,Romance"
tt0053967,movie,The Young One,The Young One,0,1960,96,Drama
tt0053968,movie,The Guns of Juana Gallo,Juana Gallo,0,1961,120,"Drama,War"
tt0053969,movie,Juanito,Juanito,0,1960,97,"Adventure,Western"
tt0053971,movie,Judge and Juvenile,Der Jugendrichter,0,1960,94,Drama
tt0053972,movie,Juke Box Racket,Juke Box Racket,0,1960,61,"Crime,Drama,Music"
